"show","week","year","atlas_text","fauci_text"
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",11,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",12,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",13,2020,0,5
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",14,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",15,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",16,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",17,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",18,2020,0,3
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",20,2020,0,4
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",21,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",22,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",23,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",24,2020,0,3
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",25,2020,0,6
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",26,2020,0,3
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",27,2020,0,2
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",28,2020,0,9
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",29,2020,0,7
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",30,2020,0,7
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",31,2020,0,10
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",32,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",33,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",34,2020,0,6
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",35,2020,0,5
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",36,2020,1,6
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",37,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",38,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",39,2020,1,2
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",40,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",41,2020,0,6
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",42,2020,3,4
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",43,2020,3,3
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",45,2020,0,1
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",46,2020,0,4
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",47,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",48,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",49,2020,0,3
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",50,2020,0,0
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",51,2020,0,7
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",52,2020,0,6
"CNN_Newsroom_With_Poppy_Harlow_and_Jim_Sciutto",53,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",10,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",11,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",12,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",14,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",15,2020,0,1
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",18,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",19,2020,0,1
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",21,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",25,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",27,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",28,2020,0,1
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",30,2020,0,2
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",31,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",35,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",36,2020,1,1
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",42,2020,0,0
"CNN_Newsroom_With_Victor_Blackwell_and_Christi_Paul",47,2020,0,0
