"fauci","cc","network","show","week","year"
0,13,"cnn","CNN_Newsroom",34,2020
0,15,"cnn","CNN_Newsroom",35,2020
0,61,"cnn","CNN_Newsroom",36,2020
0,14,"cnn","CNN_Newsroom",37,2020
0,87,"cnn","CNN_Newsroom",38,2020
0,44,"cnn","CNN_Newsroom",39,2020
0,118,"cnn","CNN_Newsroom",40,2020
0,26,"cnn","CNN_Newsroom",41,2020
0,93,"cnn","CNN_Newsroom",42,2020
0,56,"cnn","CNN_Newsroom",43,2020
0,48,"cnn","CNN_Newsroom",44,2020
NA,NA,"cnn","CNN_Newsroom",45,2020
0,60,"cnn","CNN_Newsroom",46,2020
0,39,"cnn","CNN_Newsroom",47,2020
0,67,"cnn","CNN_Newsroom",48,2020
0,25,"cnn","CNN_Newsroom",49,2020
0,22,"cnn","CNN_Newsroom",50,2020
0,8,"cnn","CNN_Newsroom",51,2020
1,34,"cnn","CNN_Newsroom",52,2020
0,3,"cnn","CNN_Newsroom",53,2020
NA,NA,"cnn","CNN_Newsroom_Live",9,2020
0,1,"cnn","CNN_Newsroom_Live",10,2020
0,5,"cnn","CNN_Newsroom_Live",11,2020
1,18,"cnn","CNN_Newsroom_Live",12,2020
4,52,"cnn","CNN_Newsroom_Live",13,2020
0,12,"cnn","CNN_Newsroom_Live",14,2020
0,9,"cnn","CNN_Newsroom_Live",15,2020
0,16,"cnn","CNN_Newsroom_Live",16,2020
2,8,"cnn","CNN_Newsroom_Live",17,2020
1,19,"cnn","CNN_Newsroom_Live",18,2020
2,13,"cnn","CNN_Newsroom_Live",19,2020
0,38,"cnn","CNN_Newsroom_Live",20,2020
0,8,"cnn","CNN_Newsroom_Live",21,2020
0,1,"cnn","CNN_Newsroom_Live",22,2020
0,8,"cnn","CNN_Newsroom_Live",23,2020
0,2,"cnn","CNN_Newsroom_Live",24,2020
0,26,"cnn","CNN_Newsroom_Live",25,2020
1,16,"cnn","CNN_Newsroom_Live",26,2020
0,27,"cnn","CNN_Newsroom_Live",27,2020
3,45,"cnn","CNN_Newsroom_Live",28,2020
1,26,"cnn","CNN_Newsroom_Live",29,2020
0,17,"cnn","CNN_Newsroom_Live",30,2020
0,12,"cnn","CNN_Newsroom_Live",31,2020
0,2,"cnn","CNN_Newsroom_Live",32,2020
0,11,"cnn","CNN_Newsroom_Live",33,2020
0,16,"cnn","CNN_Newsroom_Live",34,2020
0,9,"cnn","CNN_Newsroom_Live",35,2020
0,4,"cnn","CNN_Newsroom_Live",36,2020
0,18,"cnn","CNN_Newsroom_Live",37,2020
0,23,"cnn","CNN_Newsroom_Live",38,2020
0,10,"cnn","CNN_Newsroom_Live",39,2020
0,45,"cnn","CNN_Newsroom_Live",40,2020
2,30,"cnn","CNN_Newsroom_Live",41,2020
0,24,"cnn","CNN_Newsroom_Live",42,2020
0,14,"cnn","CNN_Newsroom_Live",43,2020
0,5,"cnn","CNN_Newsroom_Live",44,2020
0,19,"cnn","CNN_Newsroom_Live",45,2020
0,18,"cnn","CNN_Newsroom_Live",46,2020
