"network","week","wordcounts","show","year","death_text","health_text","network2","week2","wc","cnn","msnbc","log_wc","cnn_times_week2","msnbc_times_week2","show_id"
"cnn",51,3675,"CNN_Newsroom",2020,46,197,"cnn",42,3675,1,0,8.20930841164694,42,0,6
"cnn",52,7496,"CNN_Newsroom",2020,71,274,"cnn",43,7496,1,0,8.92212482391826,43,0,6
"cnn",53,837,"CNN_Newsroom",2020,14,36,"cnn",44,837,1,0,6.72982407048948,44,0,6
"cnn",10,1412,"CNN_Newsroom_Live",2020,6,27,"cnn",1,1412,1,0,7.25276241805319,1,0,7
"cnn",11,2705,"CNN_Newsroom_Live",2020,14,107,"cnn",2,2705,1,0,7.90285719128058,2,0,7
"cnn",12,9398,"CNN_Newsroom_Live",2020,156,354,"cnn",3,9398,1,0,9.14825217966276,3,0,7
"cnn",13,10055,"CNN_Newsroom_Live",2020,187,484,"cnn",4,10055,1,0,9.21582530220675,4,0,7
"cnn",14,7393,"CNN_Newsroom_Live",2020,104,378,"cnn",5,7393,1,0,8.9082888855571,5,0,7
"cnn",15,4000,"CNN_Newsroom_Live",2020,47,125,"cnn",6,4000,1,0,8.29404964010203,6,0,7
"cnn",16,4921,"CNN_Newsroom_Live",2020,71,186,"cnn",7,4921,1,0,8.50126704086598,7,0,7
"cnn",17,5980,"CNN_Newsroom_Live",2020,66,253,"cnn",8,5980,1,0,8.69617584694468,8,0,7
"cnn",18,5130,"CNN_Newsroom_Live",2020,58,230,"cnn",9,5130,1,0,8.54286093816481,9,0,7
"cnn",19,6397,"CNN_Newsroom_Live",2020,80,251,"cnn",10,6397,1,0,8.76358440945014,10,0,7
"cnn",20,14310,"CNN_Newsroom_Live",2020,192,558,"cnn",11,14310,1,0,9.5687138725505,11,0,7
"cnn",21,7101,"CNN_Newsroom_Live",2020,77,178,"cnn",12,7101,1,0,8.86799089818209,12,0,7
"cnn",22,927,"CNN_Newsroom_Live",2020,19,23,"cnn",13,927,1,0,6.83195356556585,13,0,7
"cnn",23,3362,"CNN_Newsroom_Live",2020,54,91,"cnn",14,3362,1,0,8.12029131396856,14,0,7
"cnn",24,2379,"CNN_Newsroom_Live",2020,41,90,"cnn",15,2379,1,0,7.77443551030296,15,0,7
"cnn",25,5232,"CNN_Newsroom_Live",2020,75,136,"cnn",16,5232,1,0,8.56254889313703,16,0,7
"cnn",26,8456,"CNN_Newsroom_Live",2020,76,281,"cnn",17,8456,1,0,9.04263152755007,17,0,7
"cnn",27,10128,"CNN_Newsroom_Live",2020,91,367,"cnn",18,10128,1,0,9.22305914438396,18,0,7
"cnn",28,23136,"CNN_Newsroom_Live",2020,331,871,"cnn",19,23136,1,0,10.0491451249585,19,0,7
"cnn",29,14921,"CNN_Newsroom_Live",2020,112,649,"cnn",20,14921,1,0,9.61052489564042,20,0,7
"cnn",30,17871,"CNN_Newsroom_Live",2020,158,761,"cnn",21,17871,1,0,9.7909345662968,21,0,7
"cnn",31,12440,"CNN_Newsroom_Live",2020,160,333,"cnn",22,12440,1,0,9.42867236629317,22,0,7
"cnn",32,5927,"CNN_Newsroom_Live",2020,82,171,"cnn",23,5927,1,0,8.68727346178784,23,0,7
"cnn",33,5018,"CNN_Newsroom_Live",2020,69,205,"cnn",24,5018,1,0,8.52078672692637,24,0,7
"cnn",34,6327,"CNN_Newsroom_Live",2020,74,223,"cnn",25,6327,1,0,8.75258146914688,25,0,7
"cnn",35,9557,"CNN_Newsroom_Live",2020,76,313,"cnn",26,9557,1,0,9.16502914926618,26,0,7
"cnn",36,10440,"CNN_Newsroom_Live",2020,103,386,"cnn",27,10440,1,0,9.25339986143663,27,0,7
"cnn",37,4956,"CNN_Newsroom_Live",2020,47,147,"cnn",28,4956,1,0,8.50835424274903,28,0,7
"cnn",38,6632,"CNN_Newsroom_Live",2020,81,213,"cnn",29,6632,1,0,8.79966169681513,29,0,7
"cnn",39,5139,"CNN_Newsroom_Live",2020,65,184,"cnn",30,5139,1,0,8.54461378699223,30,0,7
"cnn",40,18571,"CNN_Newsroom_Live",2020,104,720,"cnn",31,18571,1,0,9.82935650319305,31,0,7
"cnn",41,15443,"CNN_Newsroom_Live",2020,100,554,"cnn",32,15443,1,0,9.644911105223,32,0,7
"cnn",42,14000,"CNN_Newsroom_Live",2020,120,444,"cnn",33,14000,1,0,9.5468126085974,33,0,7
"cnn",43,14539,"CNN_Newsroom_Live",2020,120,460,"cnn",34,14539,1,0,9.58458997293143,34,0,7
"cnn",44,874,"CNN_Newsroom_Live",2020,17,38,"cnn",35,874,1,0,6.77308037565554,35,0,7
"cnn",45,3704,"CNN_Newsroom_Live",2020,58,120,"cnn",36,3704,1,0,8.21716859576607,36,0,7
"cnn",46,12090,"CNN_Newsroom_Live",2020,149,493,"cnn",37,12090,1,0,9.40013394360884,37,0,7
"cnn",47,12897,"CNN_Newsroom_Live",2020,117,498,"cnn",38,12897,1,0,9.46475000516439,38,0,7
"cnn",48,9598,"CNN_Newsroom_Live",2020,100,461,"cnn",39,9598,1,0,9.16931002241819,39,0,7
"cnn",49,6477,"CNN_Newsroom_Live",2020,92,406,"cnn",40,6477,1,0,8.77601271918292,40,0,7
"cnn",50,13422,"CNN_Newsroom_Live",2020,112,786,"cnn",41,13422,1,0,9.50465043071818,41,0,7
"cnn",51,15675,"CNN_Newsroom_Live",2020,166,808,"cnn",42,15675,1,0,9.65982236550112,42,0,7
"cnn",52,22794,"CNN_Newsroom_Live",2020,261,908,"cnn",43,22794,1,0,10.0342526224157,43,0,7
"cnn",53,6264,"CNN_Newsroom_Live",2020,86,300,"cnn",44,6264,1,0,8.74257423767064,44,0,7
"cnn",10,2244,"CNN_Newsroom_With_Ana_Cabrera",2020,9,85,"cnn",1,2244,1,0,7.71601526664259,1,0,8
"cnn",11,2377,"CNN_Newsroom_With_Ana_Cabrera",2020,19,82,"cnn",2,2377,1,0,7.77359446736019,2,0,8
"cnn",12,444,"CNN_Newsroom_With_Ana_Cabrera",2020,3,18,"cnn",3,444,1,0,6.09582456243222,3,0,8
"cnn",13,1819,"CNN_Newsroom_With_Ana_Cabrera",2020,21,85,"cnn",4,1819,1,0,7.50604217851812,4,0,8
"cnn",14,3391,"CNN_Newsroom_With_Ana_Cabrera",2020,52,189,"cnn",5,3391,1,0,8.12888014212564,5,0,8
"cnn",16,3129,"CNN_Newsroom_With_Ana_Cabrera",2020,35,157,"cnn",7,3129,1,0,8.04846874366888,7,0,8
"cnn",17,695,"CNN_Newsroom_With_Ana_Cabrera",2020,11,26,"cnn",8,695,1,0,6.54391184556479,8,0,8
"cnn",18,2298,"CNN_Newsroom_With_Ana_Cabrera",2020,21,103,"cnn",9,2298,1,0,7.7397944584087,9,0,8
"cnn",19,2762,"CNN_Newsroom_With_Ana_Cabrera",2020,27,163,"cnn",10,2762,1,0,7.92371033396924,10,0,8
"cnn",20,1492,"CNN_Newsroom_With_Ana_Cabrera",2020,14,112,"cnn",11,1492,1,0,7.30787278076371,11,0,8
"cnn",21,2929,"CNN_Newsroom_With_Ana_Cabrera",2020,34,95,"cnn",12,2929,1,0,7.98241634682773,12,0,8
"cnn",24,409,"CNN_Newsroom_With_Ana_Cabrera",2020,3,10,"cnn",15,409,1,0,6.0137151560428,15,0,8
"cnn",26,3565,"CNN_Newsroom_With_Ana_Cabrera",2020,12,117,"cnn",17,3565,1,0,8.1789193328484,17,0,8
"cnn",28,3066,"CNN_Newsroom_With_Ana_Cabrera",2020,34,138,"cnn",19,3066,1,0,8.02812905943176,19,0,8
"cnn",29,2077,"CNN_Newsroom_With_Ana_Cabrera",2020,20,116,"cnn",20,2077,1,0,7.63867982387611,20,0,8
"cnn",30,2979,"CNN_Newsroom_With_Ana_Cabrera",2020,27,153,"cnn",21,2979,1,0,7.99934295271328,21,0,8
"cnn",31,6132,"CNN_Newsroom_With_Ana_Cabrera",2020,47,138,"cnn",22,6132,1,0,8.7212762399917,22,0,8
"cnn",33,2400,"CNN_Newsroom_With_Ana_Cabrera",2020,37,109,"cnn",24,2400,1,0,7.78322401633604,24,0,8
"cnn",34,2195,"CNN_Newsroom_With_Ana_Cabrera",2020,12,52,"cnn",25,2195,1,0,7.69393732550927,25,0,8
"cnn",35,1311,"CNN_Newsroom_With_Ana_Cabrera",2020,3,79,"cnn",26,1311,1,0,7.1785454837637,26,0,8
"cnn",36,593,"CNN_Newsroom_With_Ana_Cabrera",2020,6,17,"cnn",27,593,1,0,6.38519439899773,27,0,8
"cnn",37,3017,"CNN_Newsroom_With_Ana_Cabrera",2020,49,113,"cnn",28,3017,1,0,8.01201823915906,28,0,8
"cnn",39,890,"CNN_Newsroom_With_Ana_Cabrera",2020,12,23,"cnn",30,890,1,0,6.79122146272619,30,0,8
"cnn",40,6437,"CNN_Newsroom_With_Ana_Cabrera",2020,17,284,"cnn",31,6437,1,0,8.76981787205262,31,0,8
"cnn",41,4349,"CNN_Newsroom_With_Ana_Cabrera",2020,24,149,"cnn",32,4349,1,0,8.37770121259764,32,0,8
"cnn",42,3556,"CNN_Newsroom_With_Ana_Cabrera",2020,25,67,"cnn",33,3556,1,0,8.1763915966338,33,0,8
"cnn",43,6061,"CNN_Newsroom_With_Ana_Cabrera",2020,63,164,"cnn",34,6061,1,0,8.70963008195129,34,0,8
"cnn",45,1467,"CNN_Newsroom_With_Ana_Cabrera",2020,23,18,"cnn",36,1467,1,0,7.29097477814298,36,0,8
"cnn",46,3868,"CNN_Newsroom_With_Ana_Cabrera",2020,28,167,"cnn",37,3868,1,0,8.26049285657318,37,0,8
"cnn",47,4265,"CNN_Newsroom_With_Ana_Cabrera",2020,50,145,"cnn",38,4265,1,0,8.35819745992578,38,0,8
"cnn",48,1684,"CNN_Newsroom_With_Ana_Cabrera",2020,18,71,"cnn",39,1684,1,0,7.42892719480227,39,0,8
"cnn",50,3207,"CNN_Newsroom_With_Ana_Cabrera",2020,31,227,"cnn",41,3207,1,0,8.07309119969315,41,0,8
"cnn",51,3270,"CNN_Newsroom_With_Ana_Cabrera",2020,16,163,"cnn",42,3270,1,0,8.0925452638913,42,0,8
"cnn",52,3129,"CNN_Newsroom_With_Ana_Cabrera",2020,19,125,"cnn",43,3129,1,0,8.04846874366888,43,0,8
"cnn",9,2526,"CNN_Newsroom_With_Brooke_Baldwin",2020,10,86,"cnn",0,2526,1,0,7.83439230291044,0,0,9
"cnn",11,4451,"CNN_Newsroom_With_Brooke_Baldwin",2020,19,142,"cnn",2,4451,1,0,8.40088406901585,2,0,9
"cnn",12,1409,"CNN_Newsroom_With_Brooke_Baldwin",2020,7,84,"cnn",3,1409,1,0,7.25063551189868,3,0,9
"cnn",13,1309,"CNN_Newsroom_With_Brooke_Baldwin",2020,15,85,"cnn",4,1309,1,0,7.1770187659099,4,0,9
"cnn",14,1692,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,87,"cnn",5,1692,1,0,7.43366654016617,5,0,9
"cnn",15,1361,"CNN_Newsroom_With_Brooke_Baldwin",2020,13,49,"cnn",6,1361,1,0,7.21597500265147,6,0,9
"cnn",17,3242,"CNN_Newsroom_With_Brooke_Baldwin",2020,51,95,"cnn",8,3242,1,0,8.08394570229562,8,0,9
"cnn",19,300,"CNN_Newsroom_With_Brooke_Baldwin",2020,1,5,"cnn",10,300,1,0,5.7037824746562,10,0,9
"cnn",21,729,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,36,"cnn",12,729,1,0,6.59167373200866,12,0,9
"cnn",22,1080,"CNN_Newsroom_With_Brooke_Baldwin",2020,24,23,"cnn",13,1080,1,0,6.98471632011827,13,0,9
"cnn",24,2320,"CNN_Newsroom_With_Brooke_Baldwin",2020,19,73,"cnn",15,2320,1,0,7.74932246466036,15,0,9
"cnn",25,618,"CNN_Newsroom_With_Brooke_Baldwin",2020,9,15,"cnn",16,618,1,0,6.42648845745769,16,0,9
"cnn",26,2365,"CNN_Newsroom_With_Brooke_Baldwin",2020,16,81,"cnn",17,2365,1,0,7.76853330092603,17,0,9
"cnn",27,1845,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,66,"cnn",18,1845,1,0,7.52023455647463,18,0,9
"cnn",28,1949,"CNN_Newsroom_With_Brooke_Baldwin",2020,20,65,"cnn",19,1949,1,0,7.57507169950756,19,0,9
"cnn",29,2360,"CNN_Newsroom_With_Brooke_Baldwin",2020,14,134,"cnn",20,2360,1,0,7.76641689801966,20,0,9
"cnn",30,4614,"CNN_Newsroom_With_Brooke_Baldwin",2020,49,127,"cnn",21,4614,1,0,8.4368504387337,21,0,9
"cnn",31,4832,"CNN_Newsroom_With_Brooke_Baldwin",2020,44,152,"cnn",22,4832,1,0,8.48301573961465,22,0,9
"cnn",32,2952,"CNN_Newsroom_With_Brooke_Baldwin",2020,28,92,"cnn",23,2952,1,0,7.99023818572036,23,0,9
"cnn",35,1190,"CNN_Newsroom_With_Brooke_Baldwin",2020,8,51,"cnn",26,1190,1,0,7.08170858610557,26,0,9
"cnn",36,3115,"CNN_Newsroom_With_Brooke_Baldwin",2020,41,145,"cnn",27,3115,1,0,8.04398443122155,27,0,9
"cnn",37,1788,"CNN_Newsroom_With_Brooke_Baldwin",2020,4,78,"cnn",28,1788,1,0,7.48885295573346,28,0,9
"cnn",38,1196,"CNN_Newsroom_With_Brooke_Baldwin",2020,18,33,"cnn",29,1196,1,0,7.08673793451058,29,0,9
